구분,요구ID,기능 ID,페이지,주 기능,상세 기능,설명,중요도,작업 소요,비고
00. 초기,MAIN_00,MAIN_00_INIT_000,,1. 스플래쉬,초기 화면,서비스를 시작하면 가장 먼저 보는 초기 화면,필수,하,
,MAIN_00,MAIN_00_INIT_001,,2. 권한 인증,카메라 권한 인증,모바일 디바이스에서 카메라 사용 권한 받기,필수,중,
01. 회원가입,LOGIN_01,LOGIN_01_SIGNUP_000,singup.html,1. 회원 가입,,서비스 이용을 위한 회원가입,,,
02. 로그인,LOGIN_01,LOGIN_01_SIGN_001,login.html,1. 로그인,,,,,
03. 메인,MAIN_01,MAIN_01_MAIN_001,index.html,1. 캐릭터 노출 + 점수 확인,캐릭터 노출,사용자의 운동 진행을 나타내는 캐릭터 노출,필수,,진행에 비례하여 캐릭터 변화
04. 운동 이력 확인,,MAIN_01_VIEW_001,"view.html ",1. 운동 점수 확인,,운동 기록을 확인,필수,,캘린더 적용 검토
05. 친구,FD_01,FD_01_LIST_01,friend_list.html,1. 친구 목록,,친구 리스트 확인,필수,,친구 없을 경우 친구 추가 버튼과 함께 멘트 추가
,,FD_01_ADD_01,friend_list.html,2. 친구 맺기,,,,,
,,FD_01_DEL_01,friend_list.html,3. 친구 삭제,,,,,
,,FD_01_FIREND_01,friend_detail.html,3. 친구 상세 확인,,,,,
,,FD_01_ATTACK_01,friend_detail.html,4. 친구 근육 뺏기,,,,,
03 .운동하기,TR_01,TR_01_SELECT_001,,1. 운동 선택,운동 선택,운동을 하기 전 진행할 운동 종류 선택,필수,,상체운동/ 하체 운동
,,TR_01_SELECT_002,,2. 목표 횟수,목표 횟수 선택,운동을 하기 전 진행할 운동 횟수 선택,,,max 값 안쪽으로 - 자동종료
,,"TR_01_TRAIN_00 ",,2. 정확도 측정,,"1. 모든 운동은 8~15회 x 3set로 진행이 되며,  올바른 자세를 했을 경우에만 점수가 측정 되어 총 합 점수나 평균 점수 산출,,?

2. 횟수 입력 (max 값 안쪽으로) - 자동종료   

3. 기준점수 이상이 되는 횟수만 카운트 해줌(7/10성공 식으로)

4. 운동 전체 회수 카운트(점수도달에상관없이) → 전체점수/ 운동횟수",,,자동 종료
,,TR_01_SCORE_001,,2. 정확도 확인,,,,,
"05. 설정 ",SET_01,SET_01_RMUSER_001,setting.html,1. 회원탈퇴,,,,,로그아웃 이후 login.html로 이동
,,SET_01_LOGOUT_001,"setting.html ",2. 로그아웃,,,,,로그아웃 이후 login.html로 이동
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,